level,category,number,title,kind,new_path,size_bytes,sha256,original_path
basic-1,unit,1,Hi,pdf,materials/basic-1/units/unit-01/unit-01.pdf,394085,d966a98dace59a13f82cbf769cd2bc824b2307ecf70ee0276941fa3db8b00113,basic-1/BASIC 1/UNIT/UNIT 1- Hi.pdf
basic-1,unit,1,Hi,audio,materials/basic-1/units/unit-01/audio.mp3,1760169,1f621a495926f48f5f255d09127f4ae9a7cbc928e4319ae278d02b6048ddf441,basic-1/BASIC 1/ÁUDIO/UNIT 1 HI.mp3
basic-1,unit,2,Numbers,pdf,materials/basic-1/units/unit-02/unit-02.pdf,327129,4886a27e6f20783765e8b92e75300f56b320fd7ac8e2d73dea93c854d197e91c,basic-1/BASIC 1/UNIT/UNIT 2- Numbers.pdf
basic-1,unit,2,Numbers,audio,materials/basic-1/units/unit-02/audio.mp3,1300627,3c6e2a77eb42b8de6297e94e5695e9893c3fb7fec314e58c3c6bd9f087a50dcb,basic-1/BASIC 1/ÁUDIO/UNIT 2 NUMBERS.mp3
basic-1,unit,3,Colors,pdf,materials/basic-1/units/unit-03/unit-03.pdf,450671,9ae4cf82561778163e20bf14079fd7b1403625e410d07cbcb1375c335ddc1cfc,basic-1/BASIC 1/UNIT/UNIT 3- Colors.pdf
basic-1,unit,3,Colors,audio,materials/basic-1/units/unit-03/audio.mp3,1594626,b8c1229b59e9235104f5412524b9e741e93e63e189faa814c4bb22572b5f059f,basic-1/BASIC 1/ÁUDIO/UNIT 3 COLORS.mp3
basic-1,unit,4,Rooms and Colors,pdf,materials/basic-1/units/unit-04/unit-04.pdf,374078,e227b1152d488a7e53ec03bf0f8e4a61fff1d70fbf769406114188d6f83c7502,basic-1/BASIC 1/UNIT/UNIT 4- Rooms and Colors.pdf
basic-1,unit,4,Rooms and Colors,audio,materials/basic-1/units/unit-04/audio.mp3,1899696,064d10892971ebbf071cfb2fd14f85eb43283ac1addc8af6ef395c35607070c2,basic-1/BASIC 1/ÁUDIO/UNIT 4 ROOMS AND COLORS.mp3
basic-1,unit,5,Family,pdf,materials/basic-1/units/unit-05/unit-05.pdf,487829,be22da37181f6d84aa9bff1ce91c39ed8599ac18c9dcdae3f33ef7c0c3b370ff,basic-1/BASIC 1/UNIT/UNIT 5- Family.pdf
basic-1,unit,5,Family,audio,materials/basic-1/units/unit-05/audio.mp3,667091,0318cc53e4202dcc56ac1cec06585f21c39964943ec0cdedd97def5af21d6887,basic-1/BASIC 1/ÁUDIO/UNIT 5 FAMILY.mp3
basic-1,unit,6,What Time?,pdf,materials/basic-1/units/unit-06/unit-06.pdf,567437,4b67d3fce19f6d154116fa2b6dd955b1fef34c213d24f272643a0a1d2be75f22,basic-1/BASIC 1/UNIT/UNIT 6- What Time.pdf
basic-1,unit,6,What Time?,audio,materials/basic-1/units/unit-06/audio.mp3,1338570,d1d68f3f096d08afe3cdbc7debb869ed5cd17e4cc1d3d84c4241ce6634ce6667,basic-1/BASIC 1/ÁUDIO/UNIT 6 WHAT TIME.mp3
basic-1,unit,7,Clothes,pdf,materials/basic-1/units/unit-07/unit-07.pdf,487038,62998178e71e5301634f3a02ef5ff824d8ef44bc852a2bdf8859b6713eb955eb,basic-1/BASIC 1/UNIT/UNIT 7- Clothes.pdf
basic-1,unit,7,Clothes,audio,materials/basic-1/units/unit-07/audio.mp3,1277170,d68f04f40b575374766be943e4642f0a41144261989e01796eef4b557ee363f1,basic-1/BASIC 1/ÁUDIO/UNIT 7 CLOTHES.mp3
basic-1,unit,8,Body Parts,pdf,materials/basic-1/units/unit-08/unit-08.pdf,431449,b9eac15a794d5bad64b81cdb8d29b1a1a8f517379d38209999f328df10fe1f60,basic-1/BASIC 1/UNIT/Unit 8- Body Parts.pdf
basic-1,unit,8,Body Parts,audio,materials/basic-1/units/unit-08/audio.mp3,1063423,342cd8ec9791a5920db3ad1e673c05b8e7c16cf98d161546581ee64d9655f87b,basic-1/BASIC 1/ÁUDIO/UNIT 8 BODY PARTS.mp3
